machine_id,timestamp,temperature_c,vibration_mm_s,runtime_hours,days_since_maintenance,failed_within_7d,temp_roll7_mean,vib_roll7_mean,temp_roll7_std,vib_roll7_std,temp_rate_of_change,vib_rate_of_change,type_CNC_MILL,type_CONVEYOR,type_PRESS,type_PUMP,type_ROBOT_ARM
M001,2025-01-01,56.42,2.411,4790.5,11,0,56.42,2.411,0.0,0.0,0.0,0.0,True,False,False,False,False
M001,2025-01-02,48.97,1.852,4798.5,12,0,52.695,2.1315,5.267945519839781,0.3952726906832799,0.0,0.0,True,False,False,False,False
M001,2025-01-03,53.59,2.163,4807.0,13,0,52.99333333333334,2.142,3.760669266677588,0.2800910566226632,0.0,0.0,True,False,False,False,False
M001,2025-01-04,55.73,1.426,4819.0,14,0,53.6775,1.963,3.361660056182562,0.42481133067123644,0.0,0.0,True,False,False,False,False
M001,2025-01-05,47.68,2.181,4825.7,15,0,52.477999999999994,2.0066,3.958480769184056,0.3805959800102991,0.0,0.0,True,False,False,False,False
M001,2025-01-06,54.25,1.951,4840.4,16,0,52.77333333333333,1.9973333333333334,3.6137219963171856,0.34117131571494497,0.0,0.0,True,False,False,False,False
M001,2025-01-07,62.68,2.118,4847.0,17,0,54.18857142857143,2.0145714285714287,4.990268625272689,0.3147670340335622,0.0,0.0,True,False,False,False,False
M001,2025-01-08,53.42,2.574,4853.2,18,0,53.76,2.037857142857143,4.894595659159873,0.35272247285527875,-3.0,0.1629999999999998,True,False,False,False,False
M001,2025-01-09,53.2,2.284,4860.6,19,0,54.364285714285714,2.0995714285714286,4.445142881628808,0.35257663807218675,4.230000000000004,0.4319999999999997,True,False,False,False,False
M001,2025-01-10,57.34,1.67,4875.1,20,0,54.9,2.0291428571428574,4.560741898711952,0.3854972669904974,3.75,-0.4929999999999999,True,False,False,False,False
M001,2025-01-11,57.47,1.634,4885.5,21,0,55.14857142857143,2.0588571428571427,4.659858469136267,0.33611130526034005,1.740000000000002,0.20799999999999996,True,False,False,False,False
M001,2025-01-12,55.97,1.582,4891.9,22,0,56.33285714285715,1.973285714285714,3.3005843638448633,0.37395218691062343,8.29,-0.599,True,False,False,False,False
M001,2025-01-13,55.66,2.265,4910.8,23,0,56.534285714285716,2.018142857142857,3.193576141479742,0.3893492128203284,1.4099999999999966,0.31400000000000006,True,False,False,False,False
M001,2025-01-14,57.36,2.797,4930.3,24,0,55.77428571428572,2.115142857142857,1.8285864954736555,0.4899559261033687,-5.32,0.6790000000000003,True,False,False,False,False
M001,2025-01-15,55.79,2.493,4944.5,25,0,56.11285714285714,2.1035714285714286,1.5120374145030955,0.4781265024875242,2.3699999999999974,-0.08099999999999996,True,False,False,False,False
M001,2025-01-16,55.97,1.884,4951.5,26,0,56.50857142857143,2.0464285714285713,0.832374686693252,0.47686995332160775,2.769999999999996,-0.3999999999999999,True,False,False,False,False
